coord,type,strand,ID,Alias,Name,Derives_from,sRNA_115,sRNA_266_4,sRNA_793,sRNA_LU
chr14:50299855-50299946,miRNA_primary_transcript,-,MI0016867,MI0016867,hsa-mir-4504,,4,2,0,1
chr14:73758747-73758819,miRNA_primary_transcript,+,MI0016868,MI0016868,hsa-mir-4505,,0,0,0,0
chr14:93948226-93948302,miRNA_primary_transcript,-,MI0016869,MI0016869,hsa-mir-4506,,0,1,1,0
chr14:100814491-100814574,miRNA_primary_transcript,+,MI0016870,MI0016870,hsa-mir-2392,,0,0,0,0
chr14:105858124-105858175,miRNA_primary_transcript,-,MI0016871,MI0016871,hsa-mir-4507,,0,0,0,0
chr15:23562062-23562131,miRNA_primary_transcript,-,MI0016872,MI0016872,hsa-mir-4508,,0,0,0,0
chr15:23197827-23197920,miRNA_primary_transcript,+,MI0016873,MI0016873,hsa-mir-4509-1,,0,0,0,0
chr15:28426491-28426584,miRNA_primary_transcript,+,MI0016874,MI0016874,hsa-mir-4509-2,,0,0,0,0
chr15:28490752-28490845,miRNA_primary_transcript,-,MI0016875,MI0016875,hsa-mir-4509-3,,0,0,0,0
chr15:35926856-35926923,miRNA_primary_transcript,+,MI0016876,MI0016876,hsa-mir-4510,,0,0,0,0
chr15:65719246-65719332,miRNA_primary_transcript,-,MI0016877,MI0016877,hsa-mir-4511,,0,3,0,3
chr15:66496958-66497034,miRNA_primary_transcript,-,MI0016878,MI0016878,hsa-mir-4512,,0,0,0,0
chr15:74788672-74788757,miRNA_primary_transcript,-,MI0016879,MI0016879,hsa-mir-4513,,0,0,0,0
chr15:80997417-80997473,miRNA_primary_transcript,-,MI0016880,MI0016880,hsa-mir-4514,,0,0,0,0
chr15:83067335-83067415,miRNA_primary_transcript,+,MI0016881,MI0016881,hsa-mir-4515,,0,1,2,0
chr16:2133119-2133204,miRNA_primary_transcript,+,MI0016882,MI0016882,hsa-mir-4516,,2,0,0,0
chr16:28958583-28958661,miRNA_primary_transcript,+,MI0016883,MI0016883,hsa-mir-4517,,0,0,0,0
chr16:30503919-30504001,miRNA_primary_transcript,+,MI0016884,MI0016884,hsa-mir-4518,,0,0,0,0
chr16:30875266-30875323,miRNA_primary_transcript,-,MI0016885,MI0016885,hsa-mir-4519,,0,0,0,0
chr17:6655440-6655509,miRNA_primary_transcript,-,MI0016886,MI0016886,hsa-mir-4520-1,,0,0,0,0
chr17:8186945-8187004,miRNA_primary_transcript,+,MI0016887,MI0016887,hsa-mir-4521,,11,0,6,3
chr17:12917268-12917342,miRNA_primary_transcript,-,MI0016888,MI0016888,hsa-mir-1269b,,0,0,0,0
chr17:27293910-27293996,miRNA_primary_transcript,-,MI0016889,MI0016889,hsa-mir-4522,,0,0,0,0
chr17:29390662-29390730,miRNA_primary_transcript,+,MI0016890,MI0016890,hsa-mir-4523,,0,0,0,0
chr17:69099564-69099632,miRNA_primary_transcript,-,MI0016891,MI0016891,hsa-mir-4524a,,0,0,0,0
chr17:82668233-82668307,miRNA_primary_transcript,-,MI0016892,MI0016892,hsa-mir-4525,,2,0,0,0
chr18:13611114-13611200,miRNA_primary_transcript,+,MI0016893,MI0016893,hsa-mir-4526,,0,0,0,0
chr18:47380496-47380565,miRNA_primary_transcript,+,MI0016894,MI0016894,hsa-mir-4527,,0,0,0,0
chr18:53237101-53237190,miRNA_primary_transcript,+,MI0016895,MI0016895,hsa-mir-4528,,0,0,0,0
chr18:55479221-55479298,miRNA_primary_transcript,+,MI0016896,MI0016896,hsa-mir-4529,,0,0,0,0
chr19:39409623-39409678,miRNA_primary_transcript,-,MI0016897,MI0016897,hsa-mir-4530,,0,0,0,0
chr19:44653686-44653732,miRNA_primary_transcript,-,MI0016898,MI0016898,hsa-mir-4531,,0,0,0,0
chr20:60478111-60478181,miRNA_primary_transcript,+,MI0016900,MI0016900,hsa-mir-4533,,0,0,0,0
chr22:37988794-37988853,miRNA_primary_transcript,+,MI0016901,MI0016901,hsa-mir-4534,,0,0,0,0
chr22:41923222-41923297,miRNA_primary_transcript,-,MI0016902,MI0016902,hsa-mir-378i,,0,0,0,0
chr22:48780295-48780353,miRNA_primary_transcript,+,MI0016903,MI0016903,hsa-mir-4535,,0,0,0,0
chrX:16627012-16627085,miRNA_primary_transcript,-,MI0016904,MI0016904,hsa-mir-548am,,0,0,0,0
chrX:39837561-39837613,miRNA_primary_transcript,+,MI0016905,MI0016905,hsa-mir-1587,,0,0,0,0
chrX:55451495-55451582,miRNA_primary_transcript,-,MI0016906,MI0016906,hsa-mir-4536-1,,0,0,0,0
chrX:106639814-106639896,miRNA_primary_transcript,+,MI0016907,MI0016907,hsa-mir-548an,,0,0,0,0
chr14:105859484-105859553,miRNA_primary_transcript,-,MI0016908,MI0016908,hsa-mir-4537,,0,0,0,0
chr14:105858165-105858242,miRNA_primary_transcript,-,MI0016909,MI0016909,hsa-mir-4538,,0,0,0,0
chr14:105857513-105857572,miRNA_primary_transcript,-,MI0016910,MI0016910,hsa-mir-4539,,0,0,0,0
chr9:36864254-36864308,miRNA_primary_transcript,-,MI0016911,MI0016911,hsa-mir-4540,,0,0,0,0
chr9:127785833-127785923,miRNA_primary_transcript,+,MI0016964,MI0016964,hsa-mir-3960,,0,0,0,0
chr1:17277889-17277975,miRNA_primary_transcript,+,MI0016990,MI0016990,hsa-mir-3972,,0,0,0,0
chr11:36010098-36010204,miRNA_primary_transcript,+,MI0016991,MI0016991,hsa-mir-3973,,0,0,0,0
chr12:17673299-17673394,miRNA_primary_transcript,+,MI0016992,MI0016992,hsa-mir-3974,,0,0,0,0
chr18:35591737-35591806,miRNA_primary_transcript,+,MI0016993,MI0016993,hsa-mir-3975,,0,0,0,0
chr18:5840695-5840833,miRNA_primary_transcript,+,MI0016994,MI0016994,hsa-mir-3976,,0,3,0,0
chr5:82840155-82840224,miRNA_primary_transcript,+,MI0016995,MI0016995,hsa-mir-3977,,0,0,0,0
chrX:110082118-110082218,miRNA_primary_transcript,+,MI0016996,MI0016996,hsa-mir-3978,,0,0,0,0
chr1:12191713-12191773,miRNA_primary_transcript,+,MI0017259,MI0017259,hsa-mir-4632,,0,0,0,0
chr5:129097688-129097766,miRNA_primary_transcript,+,MI0017260,MI0017260,hsa-mir-4633,,0,0,0,0
chr5:174751734-174751787,miRNA_primary_transcript,+,MI0017261,MI0017261,hsa-mir-4634,,0,0,0,0
chr5:1062896-1062974,miRNA_primary_transcript,-,MI0017262,MI0017262,hsa-mir-4635,,2,0,0,0
chr5:9053816-9053895,miRNA_primary_transcript,-,MI0017263,MI0017263,hsa-mir-4636,,4,6,1,3
chr5:14825929-14826012,miRNA_primary_transcript,-,MI0017264,MI0017264,hsa-mir-4637,,2,1,0,4
chr5:181222566-181222633,miRNA_primary_transcript,-,MI0017265,MI0017265,hsa-mir-4638,,3,1,2,4
chr6:16141556-16141624,miRNA_primary_transcript,+,MI0017266,MI0017266,hsa-mir-4639,,6,0,0,2
chr6:30890883-30890972,miRNA_primary_transcript,+,MI0017267,MI0017267,hsa-mir-4640,,0,0,1,0
chr6:41598723-41598788,miRNA_primary_transcript,+,MI0017268,MI0017268,hsa-mir-4641,,0,0,0,0
chr6:44435641-44435722,miRNA_primary_transcript,+,MI0017269,MI0017269,hsa-mir-4642,,0,0,0,0
chr6:91521660-91521737,miRNA_primary_transcript,+,MI0017270,MI0017270,hsa-mir-4643,,0,0,0,0
chr6:170330761-170330844,miRNA_primary_transcript,+,MI0017271,MI0017271,hsa-mir-4644,,0,0,0,0
chr6:2854031-2854107,miRNA_primary_transcript,-,MI0017272,MI0017272,hsa-mir-4645,,0,0,0,0
chr6:31701029-31701091,miRNA_primary_transcript,-,MI0017273,MI0017273,hsa-mir-4646,,0,0,0,0
chr6:44254206-44254285,miRNA_primary_transcript,-,MI0017274,MI0017274,hsa-mir-4647,,18,12,2,1
chr7:2527074-2527145,miRNA_primary_transcript,+,MI0017275,MI0017275,hsa-mir-4648,,0,0,0,0
chr7:44110849-44110912,miRNA_primary_transcript,+,MI0017276,MI0017276,hsa-mir-4649,,10,9,0,0
chr7:67114322-67114397,miRNA_primary_transcript,-,MI0017277,MI0017277,hsa-mir-4650-1,,0,0,0,0
chr7:72697903-72697978,miRNA_primary_transcript,+,MI0017278,MI0017278,hsa-mir-4650-2,,0,0,0,0
chr7:75915197-75915269,miRNA_primary_transcript,+,MI0017279,MI0017279,hsa-mir-4651,,0,0,0,0
chr7:93716928-93717005,miRNA_primary_transcript,+,MI0017280,MI0017280,hsa-mir-4652,,0,0,0,0
chr7:101159473-101159555,miRNA_primary_transcript,+,MI0017281,MI0017281,hsa-mir-4653,,0,0,0,0
chr1:162157107-162157182,miRNA_primary_transcript,+,MI0017282,MI0017282,hsa-mir-4654,,2,0,0,3
chr7:1844180-1844253,miRNA_primary_transcript,-,MI0017283,MI0017283,hsa-mir-4655,,3,0,0,0
chr7:4788565-4788639,miRNA_primary_transcript,-,MI0017284,MI0017284,hsa-mir-4656,,0,0,0,0
chr7:44881748-44881800,miRNA_primary_transcript,-,MI0017285,MI0017285,hsa-mir-4657,,8,0,0,0
chr7:100156605-100156669,miRNA_primary_transcript,-,MI0017286,MI0017286,hsa-mir-4658,,5,2,0,4
chr8:6745164-6745244,miRNA_primary_transcript,+,MI0017287,MI0017287,hsa-mir-4659a,,3,0,0,4
chr8:9048445-9048518,miRNA_primary_transcript,+,MI0017288,MI0017288,hsa-mir-4660,,0,0,0,2
chr8:91205485-91205559,miRNA_primary_transcript,+,MI0017289,MI0017289,hsa-mir-4661,,5,5,2,9
chr8:124821985-124822051,miRNA_primary_transcript,+,MI0017290,MI0017290,hsa-mir-4662a,,15,11,0,6
chr8:6745168-6745240,miRNA_primary_transcript,-,MI0017291,MI0017291,hsa-mir-4659b,,0,0,0,0
chr8:123215788-123215863,miRNA_primary_transcript,-,MI0017292,MI0017292,hsa-mir-4663,,0,0,0,0
chr8:124821978-124822058,miRNA_primary_transcript,-,MI0017293,MI0017293,hsa-mir-4662b,,0,0,0,4
chr8:143733083-143733153,miRNA_primary_transcript,-,MI0017294,MI0017294,hsa-mir-4664,,8,6,3,1
chr9:6007826-6007904,miRNA_primary_transcript,+,MI0017295,MI0017295,hsa-mir-4665,,14,5,0,0
chr1:228462074-228462152,miRNA_primary_transcript,+,MI0017296,MI0017296,hsa-mir-4666a,,0,0,0,0
chr9:35608094-35608159,miRNA_primary_transcript,+,MI0017297,MI0017297,hsa-mir-4667,,2,2,0,1
chr9:111932100-111932169,miRNA_primary_transcript,+,MI0017298,MI0017298,hsa-mir-4668,,1,1,0,0
chr9:128392621-128392708,miRNA_primary_transcript,+,MI0017299,MI0017299,hsa-mir-219b,,9,1,0,4
chr9:134379411-134379472,miRNA_primary_transcript,+,MI0017300,MI0017300,hsa-mir-4669,,0,0,0,0
chr9:92527984-92528058,miRNA_primary_transcript,-,MI0017301,MI0017301,hsa-mir-4670,,0,0,0,0
chr1:234306467-234306539,miRNA_primary_transcript,+,MI0017302,MI0017302,hsa-mir-4671,,0,0,0,0
chr9:127869415-127869495,miRNA_primary_transcript,-,MI0017303,MI0017303,hsa-mir-4672,,0,0,0,0
chr9:136519568-136519626,miRNA_primary_transcript,-,MI0017304,MI0017304,hsa-mir-4673,,0,0,0,0
chr9:136546173-136546259,miRNA_primary_transcript,-,MI0017305,MI0017305,hsa-mir-4674,,1,1,0,0
chr10:20551970-20552046,miRNA_primary_transcript,+,MI0017306,MI0017306,hsa-mir-4675,,0,0,0,0
chr10:72721029-72721100,miRNA_primary_transcript,+,MI0017307,MI0017307,hsa-mir-4676,,1,0,0,4
chr1:243346176-243346255,miRNA_primary_transcript,+,MI0017308,MI0017308,hsa-mir-4677,,60,17,12,77
chr10:87503881-87503954,miRNA_primary_transcript,+,MI0017309,MI0017309,hsa-mir-4678,,0,0,0,0
chr10:89063336-89063410,miRNA_primary_transcript,+,MI0017310,MI0017310,hsa-mir-4679-1,,0,0,0,0
chr10:89063335-89063411,miRNA_primary_transcript,-,MI0017311,MI0017311,hsa-mir-4679-2,,0,0,0,0
chr10:110898090-110898155,miRNA_primary_transcript,+,MI0017312,MI0017312,hsa-mir-4680,,0,0,0,0
chr10:119377972-119378043,miRNA_primary_transcript,+,MI0017313,MI0017313,hsa-mir-4681,,0,0,0,0
chr10:119958513-119958592,miRNA_primary_transcript,+,MI0017314,MI0017314,hsa-mir-4682,,0,0,0,0
chr10:35641172-35641252,miRNA_primary_transcript,-,MI0017315,MI0017315,hsa-mir-4683,,0,0,0,0
chr1:22719517-22719598,miRNA_primary_transcript,+,MI0017316,MI0017316,hsa-mir-4684,,0,0,0,2
chr10:98431292-98431360,miRNA_primary_transcript,-,MI0017317,MI0017317,hsa-mir-4685,,1,0,1,0
chr11:2173063-2173138,miRNA_primary_transcript,+,MI0017318,MI0017318,hsa-mir-4686,,0,0,0,0
chr11:3856062-3856141,miRNA_primary_transcript,+,MI0017319,MI0017319,hsa-mir-4687,,1,0,0,0
chr11:34941837-34941920,miRNA_primary_transcript,+,MI0017320,MI0017320,hsa-mir-1343,,7,10,1,1
chr11:46376402-46376484,miRNA_primary_transcript,+,MI0017321,MI0017321,hsa-mir-4688,,2,3,0,0
chr1:5862672-5862741,miRNA_primary_transcript,-,MI0017322,MI0017322,hsa-mir-4689,,0,1,0,0
chr11:65636310-65636369,miRNA_primary_transcript,+,MI0017323,MI0017323,hsa-mir-4690,,7,1,4,0
chr11:68033897-68033981,miRNA_primary_transcript,+,MI0017324,MI0017324,hsa-mir-4691,,1,0,0,0
chr11:72783530-72783592,miRNA_primary_transcript,+,MI0017325,MI0017325,hsa-mir-4692,,0,0,0,0
chr11:103849906-103849980,miRNA_primary_transcript,+,MI0017326,MI0017326,hsa-mir-4693,,0,0,0,0
chr11:19760004-19760083,miRNA_primary_transcript,-,MI0017327,MI0017327,hsa-mir-4694,,0,0,0,0
chr1:18883202-18883275,miRNA_primary_transcript,-,MI0017328,MI0017328,hsa-mir-4695,,2,0,0,0
chr11:74720268-74720337,miRNA_primary_transcript,-,MI0017329,MI0017329,hsa-mir-4696,,0,0,0,0
chr11:133898504-133898581,miRNA_primary_transcript,-,MI0017330,MI0017330,hsa-mir-4697,,0,0,0,0
chr12:47187812-47187891,miRNA_primary_transcript,+,MI0017331,MI0017331,hsa-mir-4698,,0,0,0,0
chr12:81158388-81158461,miRNA_primary_transcript,+,MI0017332,MI0017332,hsa-mir-4699,,2,1,0,0
chr12:120723193-120723266,miRNA_primary_transcript,+,MI0017333,MI0017333,hsa-mir-4700,,0,0,0,0
chr12:48771975-48772037,miRNA_primary_transcript,-,MI0017334,MI0017334,hsa-mir-4701,,0,0,0,0
chr12:54231397-54231476,miRNA_primary_transcript,-,MI0017335,MI0017335,hsa-mir-3198-2,,0,0,0,0
chr13:51552589-51552667,miRNA_primary_transcript,+,MI0017336,MI0017336,hsa-mir-4703,,0,0,0,0
chr13:66218250-66218324,miRNA_primary_transcript,+,MI0017337,MI0017337,hsa-mir-4704,,0,0,0,0
chr13:102045934-102046004,miRNA_primary_transcript,-,MI0017338,MI0017338,hsa-mir-4705,,0,0,2,0
chr14:65044688-65044769,miRNA_primary_transcript,+,MI0017339,MI0017339,hsa-mir-4706,,1,0,0,0
chr14:22956950-22957029,miRNA_primary_transcript,-,MI0017340,MI0017340,hsa-mir-4707,,1,0,0,1
chr14:65335117-65335183,miRNA_primary_transcript,-,MI0017341,MI0017341,hsa-mir-4708,,0,0,0,0
chr14:74480133-74480204,miRNA_primary_transcript,-,MI0017342,MI0017342,hsa-mir-4709,,12,3,0,3
chr14:104117418-104117503,miRNA_primary_transcript,-,MI0017343,MI0017343,hsa-mir-203b,,1,2,0,0
chr14:104677694-104677749,miRNA_primary_transcript,-,MI0017344,MI0017344,hsa-mir-4710,,0,0,0,0
chr1:59733227-59733296,miRNA_primary_transcript,-,MI0017345,MI0017345,hsa-mir-4711,,0,0,0,0
chr15:50360329-50360410,miRNA_primary_transcript,+,MI0017346,MI0017346,hsa-mir-4712,,0,0,1,0
chr15:51242190-51242264,miRNA_primary_transcript,+,MI0017347,MI0017347,hsa-mir-4713,,0,0,0,0
chr15:98784426-98784502,miRNA_primary_transcript,+,MI0017348,MI0017348,hsa-mir-4714,,0,0,0,0
chr15:25848747-25848825,miRNA_primary_transcript,-,MI0017349,MI0017349,hsa-mir-4715,,0,0,0,0
chr15:49169070-49169153,miRNA_primary_transcript,-,MI0017350,MI0017350,hsa-mir-4716,,0,0,0,0
chr15:88611847-88611924,miRNA_primary_transcript,-,MI0017351,MI0017351,hsa-mir-3529,,0,0,0,0
chr16:2274620-2274691,miRNA_primary_transcript,+,MI0017352,MI0017352,hsa-mir-4717,,0,0,0,0
chr16:12720321-12720371,miRNA_primary_transcript,+,MI0017353,MI0017353,hsa-mir-4718,,0,0,0,0
chr16:76868936-76869019,miRNA_primary_transcript,+,MI0017354,MI0017354,hsa-mir-4719,,0,0,0,0
chr16:81385018-81385093,miRNA_primary_transcript,+,MI0017355,MI0017355,hsa-mir-4720,,0,0,0,0
chr16:28843919-28844007,miRNA_primary_transcript,-,MI0017356,MI0017356,hsa-mir-4721,,5,0,0,1
chr16:88716278-88716337,miRNA_primary_transcript,-,MI0017357,MI0017357,hsa-mir-4722,,0,0,0,0
chr17:6655449-6655502,miRNA_primary_transcript,+,MI0017358,MI0017358,hsa-mir-4520-2,,0,0,0,0
chr17:28360654-28360734,miRNA_primary_transcript,+,MI0017359,MI0017359,hsa-mir-4723,,9,1,0,0
chr17:28861371-28861438,miRNA_primary_transcript,+,MI0017360,MI0017360,hsa-mir-451b,,0,0,0,0
chr17:31534883-31534971,miRNA_primary_transcript,+,MI0017361,MI0017361,hsa-mir-4724,,0,0,0,0
chr17:31575269-31575358,miRNA_primary_transcript,+,MI0017362,MI0017362,hsa-mir-4725,,7,0,0,8
chr17:38719691-38719748,miRNA_primary_transcript,+,MI0017363,MI0017363,hsa-mir-4726,,3,0,0,0
chr17:38825838-38825892,miRNA_primary_transcript,+,MI0017364,MI0017364,hsa-mir-4727,,1,0,0,2
chr17:39726495-39726561,miRNA_primary_transcript,+,MI0017365,MI0017365,hsa-mir-4728,,3,1,1,0
chr17:59366083-59366154,miRNA_primary_transcript,+,MI0017366,MI0017366,hsa-mir-4729,,0,0,0,0
chr17:80419418-80419493,miRNA_primary_transcript,+,MI0017367,MI0017367,hsa-mir-4730,,0,0,0,0
chr17:15251627-15251696,miRNA_primary_transcript,-,MI0017368,MI0017368,hsa-mir-4731,,3,0,4,5
chr17:28861655-28861730,miRNA_primary_transcript,-,MI0017369,MI0017369,hsa-mir-4732,,0,0,0,0
chr17:31094350-31094425,miRNA_primary_transcript,-,MI0017370,MI0017370,hsa-mir-4733,,0,0,0,0
chr17:38702262-38702331,miRNA_primary_transcript,-,MI0017371,MI0017371,hsa-mir-4734,,1,2,0,0
chr1:196582413-196582481,miRNA_primary_transcript,-,MI0017372,MI0017372,hsa-mir-4735,,0,0,0,0
chr17:58335976-58336022,miRNA_primary_transcript,-,MI0017373,MI0017373,hsa-mir-4736,,0,0,0,0
chr17:60043025-60043105,miRNA_primary_transcript,-,MI0017374,MI0017374,hsa-mir-4737,,0,0,0,0
chr17:64500774-64500839,miRNA_primary_transcript,-,MI0017375,MI0017375,hsa-mir-3064,,14,5,0,6
chr17:75784521-75784607,miRNA_primary_transcript,-,MI0017376,MI0017376,hsa-mir-4738,,0,0,1,0
chr17:79707176-79707249,miRNA_primary_transcript,-,MI0017377,MI0017377,hsa-mir-4739,,0,0,0,0
chr17:81400716-81400778,miRNA_primary_transcript,-,MI0017378,MI0017378,hsa-mir-4740,,0,0,0,0
chr18:22933349-22933438,miRNA_primary_transcript,+,MI0017379,MI0017379,hsa-mir-4741,,15,10,1,1
chr1:224398227-224398311,miRNA_primary_transcript,-,MI0017380,MI0017380,hsa-mir-4742,,3,4,0,2
chr18:48670600-48670668,miRNA_primary_transcript,+,MI0017381,MI0017381,hsa-mir-4743,,1,0,0,1
chr18:49049687-49049768,miRNA_primary_transcript,-,MI0017382,MI0017382,hsa-mir-4744,,0,0,0,0
chr18:58451080-58451152,miRNA_primary_transcript,-,MI0017383,MI0017383,hsa-mir-122b,,0,1,0,0
chr19:804940-805001,miRNA_primary_transcript,+,MI0017384,MI0017384,hsa-mir-4745,,11,3,2,0
chr19:4445978-4446048,miRNA_primary_transcript,+,MI0017385,MI0017385,hsa-mir-4746,,50,67,21,24
chr19:4932687-4932740,miRNA_primary_transcript,+,MI0017386,MI0017386,hsa-mir-4747,,0,0,2,0
chr19:10780254-10780335,miRNA_primary_transcript,+,MI0017387,MI0017387,hsa-mir-4748,,0,0,3,0
chr19:49854591-49854651,miRNA_primary_transcript,+,MI0017388,MI0017388,hsa-mir-4749,,0,0,0,0
chr19:49888175-49888230,miRNA_primary_transcript,+,MI0017389,MI0017389,hsa-mir-4750,,6,1,0,3
chr19:49933064-49933137,miRNA_primary_transcript,+,MI0017390,MI0017390,hsa-mir-4751,,1,0,1,1
chr19:54282109-54282180,miRNA_primary_transcript,+,MI0017391,MI0017391,hsa-mir-4752,,0,0,0,0
chr1:235190034-235190116,miRNA_primary_transcript,-,MI0017392,MI0017392,hsa-mir-4753,,1,0,0,3
chr19:53787677-53787742,miRNA_primary_transcript,-,MI0017393,MI0017393,hsa-mir-371b,,0,0,0,0
chr19:58386770-58386858,miRNA_primary_transcript,-,MI0017394,MI0017394,hsa-mir-4754,,1,0,0,0
chr20:34049119-34049190,miRNA_primary_transcript,+,MI0017395,MI0017395,hsa-mir-4755,,0,0,0,0
chr20:34990400-34990472,miRNA_primary_transcript,-,MI0017396,MI0017396,hsa-mir-499b,,1,0,0,0
chr20:54068408-54068485,miRNA_primary_transcript,-,MI0017397,MI0017397,hsa-mir-4756,,0,0,0,0
chr2:19348429-19348505,miRNA_primary_transcript,+,MI0017398,MI0017398,hsa-mir-4757,,0,0,0,0
chr20:62332487-62332557,miRNA_primary_transcript,-,MI0017399,MI0017399,hsa-mir-4758,,0,0,0,0
chr21:26953961-26954043,miRNA_primary_transcript,+,MI0017400,MI0017400,hsa-mir-4759,,0,0,0,0
chr21:40212352-40212431,miRNA_primary_transcript,-,MI0017401,MI0017401,hsa-mir-4760,,0,0,0,0
chr22:19963753-19963834,miRNA_primary_transcript,+,MI0017402,MI0017402,hsa-mir-4761,,0,0,0,3
chr22:45760524-45760598,miRNA_primary_transcript,+,MI0017403,MI0017403,hsa-mir-4762,,2,2,0,4
chr22:46113566-46113657,miRNA_primary_transcript,+,MI0017404,MI0017404,hsa-mir-4763,,4,2,0,0
chr22:33436582-33436669,miRNA_primary_transcript,-,MI0017405,MI0017405,hsa-mir-4764,,1,0,1,0
chr2:32635255-32635331,miRNA_primary_transcript,+,MI0017406,MI0017406,hsa-mir-4765,,0,0,1,0
chr22:40813883-40813958,miRNA_primary_transcript,-,MI0017407,MI0017407,hsa-mir-4766,,2,0,0,0
chrX:7147860-7147937,miRNA_primary_transcript,+,MI0017408,MI0017408,hsa-mir-4767,,2,0,0,0
chrX:17425881-17425954,miRNA_primary_transcript,+,MI0017409,MI0017409,hsa-mir-4768,,0,0,0,0
chrX:47587429-47587505,miRNA_primary_transcript,+,MI0017410,MI0017410,hsa-mir-4769,,0,0,0,0
chrX:6383906-6383963,miRNA_primary_transcript,-,MI0017411,MI0017411,hsa-mir-4770,,0,0,0,0
chr2:87194786-87194859,miRNA_primary_transcript,+,MI0017412,MI0017412,hsa-mir-4771-1,,0,0,0,0
chr2:111771061-111771134,miRNA_primary_transcript,-,MI0017413,MI0017413,hsa-mir-4771-2,,0,0,0,0
chr2:102432289-102432366,miRNA_primary_transcript,+,MI0017414,MI0017414,hsa-mir-4772,,0,0,1,0
chr2:151368334-151368411,miRNA_primary_transcript,+,MI0017415,MI0017415,hsa-mir-4773-1,,0,0,0,0
chr2:151368334-151368411,miRNA_primary_transcript,-,MI0017416,MI0017416,hsa-mir-4773-2,,0,0,0,0
chr2:168582943-168583018,miRNA_primary_transcript,+,MI0017417,MI0017417,hsa-mir-4774,,0,0,0,0
chr2:207754807-207754881,miRNA_primary_transcript,+,MI0017418,MI0017418,hsa-mir-4775,,0,0,0,0
chr2:212926257-212926336,miRNA_primary_transcript,+,MI0017419,MI0017419,hsa-mir-4776-1,,0,0,0,0
chr2:212926257-212926336,miRNA_primary_transcript,-,MI0017420,MI0017420,hsa-mir-4776-2,,0,0,0,0
chr2:231362708-231362793,miRNA_primary_transcript,+,MI0017421,MI0017421,hsa-mir-4777,,0,0,0,0
chr2:66358249-66358328,miRNA_primary_transcript,-,MI0017422,MI0017422,hsa-mir-4778,,0,0,0,0
chr2:86193026-86193108,miRNA_primary_transcript,-,MI0017423,MI0017423,hsa-mir-4779,,0,0,0,1
chr2:88082519-88082599,miRNA_primary_transcript,-,MI0017424,MI0017424,hsa-mir-4780,,0,1,0,0
chr2:110086433-110086523,miRNA_primary_transcript,-,MI0017425,MI0017425,hsa-mir-4436b-1,,0,0,0,0
chr1:54054079-54054154,miRNA_primary_transcript,+,MI0017426,MI0017426,hsa-mir-4781,,2,0,0,2
chr2:113721290-113721368,miRNA_primary_transcript,-,MI0017427,MI0017427,hsa-mir-4782,,1,0,1,0
chr2:127423537-127423618,miRNA_primary_transcript,-,MI0017428,MI0017428,hsa-mir-4783,,0,0,0,0
chr2:131491160-131491236,miRNA_primary_transcript,-,MI0017429,MI0017429,hsa-mir-4784,,0,0,0,0
chr2:160407810-160407882,miRNA_primary_transcript,-,MI0017430,MI0017430,hsa-mir-4785,,0,0,0,0
chr2:188978093-188978161,miRNA_primary_transcript,-,MI0017431,MI0017431,hsa-mir-1245b,,0,0,1,0
chr2:239351724-239351804,miRNA_primary_transcript,-,MI0017432,MI0017432,hsa-mir-2467,,2,0,0,1
chr2:239943015-239943094,miRNA_primary_transcript,-,MI0017433,MI0017433,hsa-mir-4786,,4,0,1,0
chr3:50675080-50675163,miRNA_primary_transcript,+,MI0017434,MI0017434,hsa-mir-4787,,3,1,0,0
chr3:134437827-134437906,miRNA_primary_transcript,+,MI0017435,MI0017435,hsa-mir-4788,,0,0,0,0
chr3:175369540-175369621,miRNA_primary_transcript,+,MI0017436,MI0017436,hsa-mir-4789,,0,0,0,0
chr3:5250177-5250255,miRNA_primary_transcript,-,MI0017437,MI0017437,hsa-mir-4790,,0,0,0,0
chr3:19314848-19314931,miRNA_primary_transcript,-,MI0017438,MI0017438,hsa-mir-4791,,0,0,0,0
chr3:48644194-48644280,miRNA_primary_transcript,-,MI0017440,MI0017440,hsa-mir-4793,,0,1,0,0
chr1:64579847-64579923,miRNA_primary_transcript,+,MI0017441,MI0017441,hsa-mir-4794,,0,0,0,0
chr3:87226189-87226277,miRNA_primary_transcript,-,MI0017442,MI0017442,hsa-mir-4795,,0,0,0,0
chr3:114743445-114743525,miRNA_primary_transcript,-,MI0017443,MI0017443,hsa-mir-4796,,11,3,0,0
chr3:197293878-197293948,miRNA_primary_transcript,-,MI0017444,MI0017444,hsa-mir-4797,,0,0,0,0
chr4:7310450-7310524,miRNA_primary_transcript,+,MI0017445,MI0017445,hsa-mir-4798,,0,0,0,0
chr4:147782595-147782668,miRNA_primary_transcript,+,MI0017446,MI0017446,hsa-mir-4799,,0,0,0,0
chr4:159128805-159128891,miRNA_primary_transcript,+,MI0017447,MI0017447,hsa-mir-3688-2,,0,0,0,0
chr4:2250077-2250156,miRNA_primary_transcript,-,MI0017448,MI0017448,hsa-mir-4800,,0,0,0,0
chr4:37241910-37241991,miRNA_primary_transcript,-,MI0017449,MI0017449,hsa-mir-4801,,0,0,0,0
chr4:40502040-40502119,miRNA_primary_transcript,-,MI0017450,MI0017450,hsa-mir-4802,,0,0,0,0
